,is_paid,num_subscribers,average_rating,rating,num_reviews,num_lectures,num_tests,time_created,time_published,discount,price
289,1,11396,4.64043,4.69311,1769,28,0,16790,16959,6.161458333333334,43.333333333333336
290,1,10933,4.38215,4.38941,1759,46,0,17859,17866,6.161458333333334,17.333333333333336
291,1,14169,4.28358,4.16461,1761,16,0,17519,17545,6.161458333333334,86.66666666666667
292,1,9777,4.55374,4.64015,1750,22,0,15810,15812,6.161458333333334,78.0
293,1,9096,4.60345,4.59743,1742,66,0,17256,17325,6.161458333333334,117.0
294,1,6227,4.3762,4.32069,1746,20,0,17405,17427,6.161458333333334,108.33333333333334
295,1,7068,4.50654,4.50609,1725,217,0,17493,17534,6.161458333333334,117.0
296,1,4876,4.38746,4.39145,1712,33,0,17359,17372,6.2562500000000005,47.66666666666667
297,1,22015,4.52752,4.5148,1691,202,0,17937,17940,6.161458333333334,117.0
298,1,11209,4.14706,4.23505,1681,36,0,16465,16476,6.3375,108.33333333333334
299,1,5608,4.25477,4.27659,1682,39,0,17431,17492,6.161458333333334,43.333333333333336
300,1,6280,4.40076,4.38991,1682,79,0,17101,17122,6.513541666666667,121.33333333333334
301,1,47129,4.3004,4.27268,1673,75,0,16457,16471,6.161458333333334,117.0
302,1,6752,4.63946,4.65823,1667,42,0,15782,15828,6.161458333333334,86.66666666666667
303,1,5890,4.39669,4.39126,1673,22,1,18001,18094,6.161458333333334,86.66666666666667
304,1,8268,3.65,3.7593,1665,22,0,17388,17478,6.161458333333334,117.0
305,1,19443,4.29282,4.2064,1666,41,0,17091,17190,6.161458333333334,56.333333333333336
306,1,5249,4.33283,4.31213,1650,14,0,16030,16041,6.161458333333334,30.333333333333336
307,1,4007,4.46516,4.44485,1647,24,0,16555,16559,6.161458333333334,17.333333333333336
308,1,4312,4.40867,4.40901,1641,30,0,17505,17521,6.161458333333334,34.66666666666667
309,1,4887,4.48117,4.51484,1625,12,0,17550,17579,6.161458333333334,117.0
310,1,4879,4.42321,4.41869,1614,38,0,17354,17359,6.161458333333334,17.333333333333336
311,1,9048,4.17164,4.11564,1601,253,0,16777,16801,6.161458333333334,117.0
312,1,5611,4.30415,4.28206,1598,48,0,17589,17851,6.161458333333334,43.333333333333336
313,1,4450,4.47154,4.47955,1596,18,0,18155,18159,6.161458333333334,26.0
314,1,6600,4.34549,4.32339,1584,39,0,17422,17435,6.161458333333334,117.0
315,1,6012,4.41513,4.48859,1584,29,0,16400,16413,6.161458333333334,86.66666666666667
